Prediksi Pasang Surut BIG 
Direktorat Sistem Referensi Geospasial 
Badan Informasi Geospasial 
Email : srgi@big.go.id 
Lat: -8.437600  Lon: 112.667364 

 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
    -8.4376  112.6674     2026-01-03 10:00:00     0.246
    -8.4376  112.6674     2026-01-03 11:00:00     0.670
    -8.4376  112.6674     2026-01-03 12:00:00     1.024
    -8.4376  112.6674     2026-01-03 13:00:00     1.217
    -8.4376  112.6674     2026-01-03 14:00:00     1.187
    -8.4376  112.6674     2026-01-03 15:00:00     0.928
    -8.4376  112.6674     2026-01-03 16:00:00     0.482
    -8.4376  112.6674     2026-01-03 17:00:00    -0.060
    -8.4376  112.6674     2026-01-03 18:00:00    -0.587
    -8.4376  112.6674     2026-01-03 19:00:00    -0.988
    -8.4376  112.6674     2026-01-03 20:00:00    -1.183
    -8.4376  112.6674     2026-01-03 21:00:00    -1.141
    -8.4376  112.6674     2026-01-03 22:00:00    -0.886
    -8.4376  112.6674     2026-01-03 23:00:00    -0.491
    -8.4376  112.6674     2026-01-04 00:00:00    -0.060
    -8.4376  112.6674     2026-01-04 01:00:00     0.299
    -8.4376  112.6674     2026-01-04 02:00:00     0.501
    -8.4376  112.6674     2026-01-04 03:00:00     0.504
    -8.4376  112.6674     2026-01-04 04:00:00     0.324
    -8.4376  112.6674     2026-01-04 05:00:00     0.023
    -8.4376  112.6674     2026-01-04 06:00:00    -0.300
    -8.4376  112.6674     2026-01-04 07:00:00    -0.542
    -8.4376  112.6674     2026-01-04 08:00:00    -0.618
    -8.4376  112.6674     2026-01-04 09:00:00    -0.488
    -8.4376  112.6674     2026-01-04 10:00:00    -0.165
    -8.4376  112.6674     2026-01-04 11:00:00     0.281
    -8.4376  112.6674     2026-01-04 12:00:00     0.747
    -8.4376  112.6674     2026-01-04 13:00:00     1.115
    -8.4376  112.6674     2026-01-04 14:00:00     1.287
    -8.4376  112.6674     2026-01-04 15:00:00     1.209
    -8.4376  112.6674     2026-01-04 16:00:00     0.884
    -8.4376  112.6674     2026-01-04 17:00:00     0.376
    -8.4376  112.6674     2026-01-04 18:00:00    -0.210
    -8.4376  112.6674     2026-01-04 19:00:00    -0.746
    -8.4376  112.6674     2026-01-04 20:00:00    -1.118
    -8.4376  112.6674     2026-01-04 21:00:00    -1.251
    -8.4376  112.6674     2026-01-04 22:00:00    -1.127
    -8.4376  112.6674     2026-01-04 23:00:00    -0.789
    -8.4376  112.6674     2026-01-05 00:00:00    -0.329
    -8.4376  112.6674     2026-01-05 01:00:00     0.133
    -8.4376  112.6674     2026-01-05 02:00:00     0.483
    -8.4376  112.6674     2026-01-05 03:00:00     0.639
    -8.4376  112.6674     2026-01-05 04:00:00     0.573
    -8.4376  112.6674     2026-01-05 05:00:00     0.316
    -8.4376  112.6674     2026-01-05 06:00:00    -0.047
    -8.4376  112.6674     2026-01-05 07:00:00    -0.406
    -8.4376  112.6674     2026-01-05 08:00:00    -0.649
    -8.4376  112.6674     2026-01-05 09:00:00    -0.695
    -8.4376  112.6674     2026-01-05 10:00:00    -0.515
    -8.4376  112.6674     2026-01-05 11:00:00    -0.140
    -8.4376  112.6674     2026-01-05 12:00:00     0.343
    -8.4376  112.6674     2026-01-05 13:00:00     0.817
    -8.4376  112.6674     2026-01-05 14:00:00     1.160
    -8.4376  112.6674     2026-01-05 15:00:00     1.280
    -8.4376  112.6674     2026-01-05 16:00:00     1.135
    -8.4376  112.6674     2026-01-05 17:00:00     0.747
    -8.4376  112.6674     2026-01-05 18:00:00     0.198
    -8.4376  112.6674     2026-01-05 19:00:00    -0.392
    -8.4376  112.6674     2026-01-05 20:00:00    -0.891
    -8.4376  112.6674     2026-01-05 21:00:00    -1.192
    -8.4376  112.6674     2026-01-05 22:00:00    -1.232
    -8.4376  112.6674     2026-01-05 23:00:00    -1.015
    -8.4376  112.6674     2026-01-06 00:00:00    -0.604
    -8.4376  112.6674     2026-01-06 01:00:00    -0.109
    -8.4376  112.6674     2026-01-06 02:00:00     0.346
    -8.4376  112.6674     2026-01-06 03:00:00     0.649
    -8.4376  112.6674     2026-01-06 04:00:00     0.732
    -8.4376  112.6674     2026-01-06 05:00:00     0.585
    -8.4376  112.6674     2026-01-06 06:00:00     0.262
    -8.4376  112.6674     2026-01-06 07:00:00    -0.141
    -8.4376  112.6674     2026-01-06 08:00:00    -0.503
    -8.4376  112.6674     2026-01-06 09:00:00    -0.717
    -8.4376  112.6674     2026-01-06 10:00:00    -0.715
    -8.4376  112.6674     2026-01-06 11:00:00    -0.484
    -8.4376  112.6674     2026-01-06 12:00:00    -0.075
    -8.4376  112.6674     2026-01-06 13:00:00     0.412
    -8.4376  112.6674     2026-01-06 14:00:00     0.854
    -8.4376  112.6674     2026-01-06 15:00:00     1.136
    -8.4376  112.6674     2026-01-06 16:00:00     1.180
    -8.4376  112.6674     2026-01-06 17:00:00     0.964
    -8.4376  112.6674     2026-01-06 18:00:00     0.531
    -8.4376  112.6674     2026-01-06 19:00:00    -0.022
    -8.4376  112.6674     2026-01-06 20:00:00    -0.570
    -8.4376  112.6674     2026-01-06 21:00:00    -0.989
    -8.4376  112.6674     2026-01-06 22:00:00    -1.184
    -8.4376  112.6674     2026-01-06 23:00:00    -1.118
    -8.4376  112.6674     2026-01-07 00:00:00    -0.816
    -8.4376  112.6674     2026-01-07 01:00:00    -0.360
    -8.4376  112.6674     2026-01-07 02:00:00     0.133
    -8.4376  112.6674     2026-01-07 03:00:00     0.541
    -8.4376  112.6674     2026-01-07 04:00:00     0.767
    -8.4376  112.6674     2026-01-07 05:00:00     0.763
    -8.4376  112.6674     2026-01-07 06:00:00     0.543
    -8.4376  112.6674     2026-01-07 07:00:00     0.175
    -8.4376  112.6674     2026-01-07 08:00:00    -0.234
    -8.4376  112.6674     2026-01-07 09:00:00    -0.567
    -8.4376  112.6674     2026-01-07 10:00:00    -0.730
    -8.4376  112.6674     2026-01-07 11:00:00    -0.672
    -8.4376  112.6674     2026-01-07 12:00:00    -0.404
    -8.4376  112.6674     2026-01-07 13:00:00     0.008
    -8.4376  112.6674     2026-01-07 14:00:00     0.460
    -8.4376  112.6674     2026-01-07 15:00:00     0.834
    -8.4376  112.6674     2026-01-07 16:00:00     1.029
    -8.4376  112.6674     2026-01-07 17:00:00     0.990
    -8.4376  112.6674     2026-01-07 18:00:00     0.718
    -8.4376  112.6674     2026-01-07 19:00:00     0.273
    -8.4376  112.6674     2026-01-07 20:00:00    -0.242
    -8.4376  112.6674     2026-01-07 21:00:00    -0.705
    -8.4376  112.6674     2026-01-07 22:00:00    -1.009
    -8.4376  112.6674     2026-01-07 23:00:00    -1.085
    -8.4376  112.6674     2026-01-08 00:00:00    -0.919
    -8.4376  112.6674     2026-01-08 01:00:00    -0.559
    -8.4376  112.6674     2026-01-08 02:00:00    -0.096
    -8.4376  112.6674     2026-01-08 03:00:00     0.355
    -8.4376  112.6674     2026-01-08 04:00:00     0.685
    -8.4376  112.6674     2026-01-08 05:00:00     0.818
    -8.4376  112.6674     2026-01-08 06:00:00     0.731
    -8.4376  112.6674     2026-01-08 07:00:00     0.458
    -8.4376  112.6674     2026-01-08 08:00:00     0.077
    -8.4376  112.6674     2026-01-08 09:00:00    -0.304
    -8.4376  112.6674     2026-01-08 10:00:00    -0.583
    -8.4376  112.6674     2026-01-08 11:00:00    -0.684
    -8.4376  112.6674     2026-01-08 12:00:00    -0.581
    -8.4376  112.6674     2026-01-08 13:00:00    -0.301
    -8.4376  112.6674     2026-01-08 14:00:00     0.082
    -8.4376  112.6674     2026-01-08 15:00:00     0.465
    -8.4376  112.6674     2026-01-08 16:00:00     0.745
    -8.4376  112.6674     2026-01-08 17:00:00     0.846
    -8.4376  112.6674     2026-01-08 18:00:00     0.736
    -8.4376  112.6674     2026-01-08 19:00:00     0.438
    -8.4376  112.6674     2026-01-08 20:00:00     0.020
    -8.4376  112.6674     2026-01-08 21:00:00    -0.415
    -8.4376  112.6674     2026-01-08 22:00:00    -0.764
    -8.4376  112.6674     2026-01-08 23:00:00    -0.940
    -8.4376  112.6674     2026-01-09 00:00:00    -0.904
    -8.4376  112.6674     2026-01-09 01:00:00    -0.665
    -8.4376  112.6674     2026-01-09 02:00:00    -0.284
    -8.4376  112.6674     2026-01-09 03:00:00     0.146
    -8.4376  112.6674     2026-01-09 04:00:00     0.522
    -8.4376  112.6674     2026-01-09 05:00:00     0.756
    -8.4376  112.6674     2026-01-09 06:00:00     0.799
    -8.4376  112.6674     2026-01-09 07:00:00     0.649
    -8.4376  112.6674     2026-01-09 08:00:00     0.353
    -8.4376  112.6674     2026-01-09 09:00:00    -0.007
    -8.4376  112.6674     2026-01-09 10:00:00    -0.336
    -8.4376  112.6674     2026-01-09 11:00:00    -0.548
    -8.4376  112.6674     2026-01-09 12:00:00    -0.594
    -8.4376  112.6674     2026-01-09 13:00:00    -0.466
    -8.4376  112.6674     2026-01-09 14:00:00    -0.204
    -8.4376  112.6674     2026-01-09 15:00:00     0.118
    -8.4376  112.6674     2026-01-09 16:00:00     0.411
    -8.4376  112.6674     2026-01-09 17:00:00     0.593
    -8.4376  112.6674     2026-01-09 18:00:00     0.612
    -8.4376  112.6674     2026-01-09 19:00:00     0.461
    -8.4376  112.6674     2026-01-09 20:00:00     0.173
    -8.4376  112.6674     2026-01-09 21:00:00    -0.180
    -8.4376  112.6674     2026-01-09 22:00:00    -0.509
    -8.4376  112.6674     2026-01-09 23:00:00    -0.732
    -8.4376  112.6674     2026-01-10 00:00:00    -0.791
    -8.4376  112.6674     2026-01-10 01:00:00    -0.670
    -8.4376  112.6674     2026-01-10 02:00:00    -0.397
    -8.4376  112.6674     2026-01-10 03:00:00    -0.035
    -8.4376  112.6674     2026-01-10 04:00:00     0.329
    -8.4376  112.6674     2026-01-10 05:00:00     0.614
    -8.4376  112.6674     2026-01-10 06:00:00     0.754
    -8.4376  112.6674     2026-01-10 07:00:00     0.725
    -8.4376  112.6674     2026-01-10 08:00:00     0.541
    -8.4376  112.6674     2026-01-10 09:00:00     0.254
    -8.4376  112.6674     2026-01-10 10:00:00    -0.060
    -8.4376  112.6674     2026-01-10 11:00:00    -0.324
    -8.4376  112.6674     2026-01-10 12:00:00    -0.476
    -8.4376  112.6674     2026-01-10 13:00:00    -0.486
    -8.4376  112.6674     2026-01-10 14:00:00    -0.361
    -8.4376  112.6674     2026-01-10 15:00:00    -0.144
    -8.4376  112.6674     2026-01-10 16:00:00     0.100
    -8.4376  112.6674     2026-01-10 17:00:00     0.299
    -8.4376  112.6674     2026-01-10 18:00:00     0.398
    -8.4376  112.6674     2026-01-10 19:00:00     0.366
    -8.4376  112.6674     2026-01-10 20:00:00     0.210
    -8.4376  112.6674     2026-01-10 21:00:00    -0.031
    -8.4376  112.6674     2026-01-10 22:00:00    -0.294
    -8.4376  112.6674     2026-01-10 23:00:00    -0.509
    -8.4376  112.6674     2026-01-11 00:00:00    -0.619
    -8.4376  112.6674     2026-01-11 01:00:00    -0.591
    -8.4376  112.6674     2026-01-11 02:00:00    -0.426
    -8.4376  112.6674     2026-01-11 03:00:00    -0.159
    -8.4376  112.6674     2026-01-11 04:00:00     0.151
    -8.4376  112.6674     2026-01-11 05:00:00     0.434
    -8.4376  112.6674     2026-01-11 06:00:00     0.629
    -8.4376  112.6674     2026-01-11 07:00:00     0.696
    -8.4376  112.6674     2026-01-11 08:00:00     0.625
    -8.4376  112.6674     2026-01-11 09:00:00     0.440
    -8.4376  112.6674     2026-01-11 10:00:00     0.187
    -8.4376  112.6674     2026-01-11 11:00:00    -0.071
    -8.4376  112.6674     2026-01-11 12:00:00    -0.277
    -8.4376  112.6674     2026-01-11 13:00:00    -0.388
    -8.4376  112.6674     2026-01-11 14:00:00    -0.390
    -8.4376  112.6674     2026-01-11 15:00:00    -0.295
    -8.4376  112.6674     2026-01-11 16:00:00    -0.141
    -8.4376  112.6674     2026-01-11 17:00:00     0.023
    -8.4376  112.6674     2026-01-11 18:00:00     0.147
    -8.4376  112.6674     2026-01-11 19:00:00     0.193
    -8.4376  112.6674     2026-01-11 20:00:00     0.148
    -8.4376  112.6674     2026-01-11 21:00:00     0.024
    -8.4376  112.6674     2026-01-11 22:00:00    -0.145
    -8.4376  112.6674     2026-01-11 23:00:00    -0.311
    -8.4376  112.6674     2026-01-12 00:00:00    -0.428
    -8.4376  112.6674     2026-01-12 01:00:00    -0.457
    -8.4376  112.6674     2026-01-12 02:00:00    -0.383
    -8.4376  112.6674     2026-01-12 03:00:00    -0.216
    -8.4376  112.6674     2026-01-12 04:00:00     0.012
    -8.4376  112.6674     2026-01-12 05:00:00     0.255
    -8.4376  112.6674     2026-01-12 06:00:00     0.462
    -8.4376  112.6674     2026-01-12 07:00:00     0.590
    -8.4376  112.6674     2026-01-12 08:00:00     0.616
    -8.4376  112.6674     2026-01-12 09:00:00     0.538
    -8.4376  112.6674     2026-01-12 10:00:00     0.376
    -8.4376  112.6674     2026-01-12 11:00:00     0.167
    -8.4376  112.6674     2026-01-12 12:00:00    -0.043
    -8.4376  112.6674     2026-01-12 13:00:00    -0.213
    -8.4376  112.6674     2026-01-12 14:00:00    -0.314
    -8.4376  112.6674     2026-01-12 15:00:00    -0.337
    -8.4376  112.6674     2026-01-12 16:00:00    -0.291
    -8.4376  112.6674     2026-01-12 17:00:00    -0.200
    -8.4376  112.6674     2026-01-12 18:00:00    -0.098
    -8.4376  112.6674     2026-01-12 19:00:00    -0.018
    -8.4376  112.6674     2026-01-12 20:00:00     0.016
    -8.4376  112.6674     2026-01-12 21:00:00    -0.004
    -8.4376  112.6674     2026-01-12 22:00:00    -0.071
    -8.4376  112.6674     2026-01-12 23:00:00    -0.162
    -8.4376  112.6674     2026-01-13 00:00:00    -0.248
    -8.4376  112.6674     2026-01-13 01:00:00    -0.298
    -8.4376  112.6674     2026-01-13 02:00:00    -0.290
    -8.4376  112.6674     2026-01-13 03:00:00    -0.214
    -8.4376  112.6674     2026-01-13 04:00:00    -0.077
    -8.4376  112.6674     2026-01-13 05:00:00     0.098
    -8.4376  112.6674     2026-01-13 06:00:00     0.280
    -8.4376  112.6674     2026-01-13 07:00:00     0.435
    -8.4376  112.6674     2026-01-13 08:00:00     0.533
    -8.4376  112.6674     2026-01-13 09:00:00     0.554
    -8.4376  112.6674     2026-01-13 10:00:00     0.494
    -8.4376  112.6674     2026-01-13 11:00:00     0.366
    -8.4376  112.6674     2026-01-13 12:00:00     0.194
    -8.4376  112.6674     2026-01-13 13:00:00     0.008
    -8.4376  112.6674     2026-01-13 14:00:00    -0.159
    -8.4376  112.6674     2026-01-13 15:00:00    -0.282
    -8.4376  112.6674     2026-01-13 16:00:00    -0.347
    -8.4376  112.6674     2026-01-13 17:00:00    -0.353
    -8.4376  112.6674     2026-01-13 18:00:00    -0.309
    -8.4376  112.6674     2026-01-13 19:00:00    -0.238
    -8.4376  112.6674     2026-01-13 20:00:00    -0.161
    -8.4376  112.6674     2026-01-13 21:00:00    -0.100
    -8.4376  112.6674     2026-01-13 22:00:00    -0.069
    -8.4376  112.6674     2026-01-13 23:00:00    -0.071
    -8.4376  112.6674     2026-01-14 00:00:00    -0.099
    -8.4376  112.6674     2026-01-14 01:00:00    -0.137
    -8.4376  112.6674     2026-01-14 02:00:00    -0.165
    -8.4376  112.6674     2026-01-14 03:00:00    -0.162
    -8.4376  112.6674     2026-01-14 04:00:00    -0.116
    -8.4376  112.6674     2026-01-14 05:00:00    -0.024
    -8.4376  112.6674     2026-01-14 06:00:00     0.106
    -8.4376  112.6674     2026-01-14 07:00:00     0.254
    -8.4376  112.6674     2026-01-14 08:00:00     0.393
    -8.4376  112.6674     2026-01-14 09:00:00     0.497
    -8.4376  112.6674     2026-01-14 10:00:00     0.542
    -8.4376  112.6674     2026-01-14 11:00:00     0.513
    -8.4376  112.6674     2026-01-14 12:00:00     0.411
    -8.4376  112.6674     2026-01-14 13:00:00     0.249
    -8.4376  112.6674     2026-01-14 14:00:00     0.053
    -8.4376  112.6674     2026-01-14 15:00:00    -0.145
    -8.4376  112.6674     2026-01-14 16:00:00    -0.314
    -8.4376  112.6674     2026-01-14 17:00:00    -0.427
    -8.4376  112.6674     2026-01-14 18:00:00    -0.470
    -8.4376  112.6674     2026-01-14 19:00:00    -0.444
    -8.4376  112.6674     2026-01-14 20:00:00    -0.361
    -8.4376  112.6674     2026-01-14 21:00:00    -0.248
    -8.4376  112.6674     2026-01-14 22:00:00    -0.133
    -8.4376  112.6674     2026-01-14 23:00:00    -0.042
    -8.4376  112.6674     2026-01-15 00:00:00     0.007
    -8.4376  112.6674     2026-01-15 01:00:00     0.010
    -8.4376  112.6674     2026-01-15 02:00:00    -0.023
    -8.4376  112.6674     2026-01-15 03:00:00    -0.070
    -8.4376  112.6674     2026-01-15 04:00:00    -0.105
    -8.4376  112.6674     2026-01-15 05:00:00    -0.103
    -8.4376  112.6674     2026-01-15 06:00:00    -0.048
    -8.4376  112.6674     2026-01-15 07:00:00     0.063
    -8.4376  112.6674     2026-01-15 08:00:00     0.214
    -8.4376  112.6674     2026-01-15 09:00:00     0.377
    -8.4376  112.6674     2026-01-15 10:00:00     0.516
    -8.4376  112.6674     2026-01-15 11:00:00     0.595
    -8.4376  112.6674     2026-01-15 12:00:00     0.589
    -8.4376  112.6674     2026-01-15 13:00:00     0.488
    -8.4376  112.6674     2026-01-15 14:00:00     0.301
    -8.4376  112.6674     2026-01-15 15:00:00     0.059
    -8.4376  112.6674     2026-01-15 16:00:00    -0.196
    -8.4376  112.6674     2026-01-15 17:00:00    -0.417
    -8.4376  112.6674     2026-01-15 18:00:00    -0.565
    -8.4376  112.6674     2026-01-15 19:00:00    -0.616
    -8.4376  112.6674     2026-01-15 20:00:00    -0.566
    -8.4376  112.6674     2026-01-15 21:00:00    -0.434
    -8.4376  112.6674     2026-01-15 22:00:00    -0.257
    -8.4376  112.6674     2026-01-15 23:00:00    -0.078
    -8.4376  112.6674     2026-01-16 00:00:00     0.060
    -8.4376  112.6674     2026-01-16 01:00:00     0.130
    -8.4376  112.6674     2026-01-16 02:00:00     0.123
    -8.4376  112.6674     2026-01-16 03:00:00     0.054
    -8.4376  112.6674     2026-01-16 04:00:00    -0.044
    -8.4376  112.6674     2026-01-16 05:00:00    -0.130
    -8.4376  112.6674     2026-01-16 06:00:00    -0.164
    -8.4376  112.6674     2026-01-16 07:00:00    -0.119
    -8.4376  112.6674     2026-01-16 08:00:00     0.010
    -8.4376  112.6674     2026-01-16 09:00:00     0.201
    -8.4376  112.6674     2026-01-16 10:00:00     0.415
    -8.4376  112.6674     2026-01-16 11:00:00     0.600
    -8.4376  112.6674     2026-01-16 12:00:00     0.705
    -8.4376  112.6674     2026-01-16 13:00:00     0.695
    -8.4376  112.6674     2026-01-16 14:00:00     0.557
    -8.4376  112.6674     2026-01-16 15:00:00     0.310
    -8.4376  112.6674     2026-01-16 16:00:00    -0.003
    -8.4376  112.6674     2026-01-16 17:00:00    -0.321
    -8.4376  112.6674     2026-01-16 18:00:00    -0.581
    -8.4376  112.6674     2026-01-16 19:00:00    -0.733
    -8.4376  112.6674     2026-01-16 20:00:00    -0.750
    -8.4376  112.6674     2026-01-16 21:00:00    -0.637
    -8.4376  112.6674     2026-01-16 22:00:00    -0.427
    -8.4376  112.6674     2026-01-16 23:00:00    -0.176
    -8.4376  112.6674     2026-01-17 00:00:00     0.054
    -8.4376  112.6674     2026-01-17 01:00:00     0.209
    -8.4376  112.6674     2026-01-17 02:00:00     0.258
    -8.4376  112.6674     2026-01-17 03:00:00     0.201
    -8.4376  112.6674     2026-01-17 04:00:00     0.065
    -8.4376  112.6674     2026-01-17 05:00:00    -0.096
    -8.4376  112.6674     2026-01-17 06:00:00    -0.224
    -8.4376  112.6674     2026-01-17 07:00:00    -0.267
    -8.4376  112.6674     2026-01-17 08:00:00    -0.195
    -8.4376  112.6674     2026-01-17 09:00:00    -0.013
    -8.4376  112.6674     2026-01-17 10:00:00     0.245
    -8.4376  112.6674     2026-01-17 11:00:00     0.519
    -8.4376  112.6674     2026-01-17 12:00:00     0.738
    -8.4376  112.6674     2026-01-17 13:00:00     0.839
    -8.4376  112.6674     2026-01-17 14:00:00     0.786
    -8.4376  112.6674     2026-01-17 15:00:00     0.576
    -8.4376  112.6674     2026-01-17 16:00:00     0.244
    -8.4376  112.6674     2026-01-17 17:00:00    -0.145
    -8.4376  112.6674     2026-01-17 18:00:00    -0.511
    -8.4376  112.6674     2026-01-17 19:00:00    -0.776
    -8.4376  112.6674     2026-01-17 20:00:00    -0.889
    -8.4376  112.6674     2026-01-17 21:00:00    -0.831
    -8.4376  112.6674     2026-01-17 22:00:00    -0.624
    -8.4376  112.6674     2026-01-17 23:00:00    -0.327
    -8.4376  112.6674     2026-01-18 00:00:00    -0.014
    -8.4376  112.6674     2026-01-18 01:00:00     0.236
    -8.4376  112.6674     2026-01-18 02:00:00     0.367
    -8.4376  112.6674     2026-01-18 03:00:00     0.354
    -8.4376  112.6674     2026-01-18 04:00:00     0.215
    -8.4376  112.6674     2026-01-18 05:00:00     0.001
    -8.4376  112.6674     2026-01-18 06:00:00    -0.214
    -8.4376  112.6674     2026-01-18 07:00:00    -0.357
    -8.4376  112.6674     2026-01-18 08:00:00    -0.372
    -8.4376  112.6674     2026-01-18 09:00:00    -0.238
    -8.4376  112.6674     2026-01-18 10:00:00     0.023
    -8.4376  112.6674     2026-01-18 11:00:00     0.354
    -8.4376  112.6674     2026-01-18 12:00:00     0.673
    -8.4376  112.6674     2026-01-18 13:00:00     0.894
    -8.4376  112.6674     2026-01-18 14:00:00     0.952
    -8.4376  112.6674     2026-01-18 15:00:00     0.818
    -8.4376  112.6674     2026-01-18 16:00:00     0.511
    -8.4376  112.6674     2026-01-18 17:00:00     0.089
    -8.4376  112.6674     2026-01-18 18:00:00    -0.358
    -8.4376  112.6674     2026-01-18 19:00:00    -0.734
    -8.4376  112.6674     2026-01-18 20:00:00    -0.958
    -8.4376  112.6674     2026-01-18 21:00:00    -0.987
    -8.4376  112.6674     2026-01-18 22:00:00    -0.822
    -8.4376  112.6674     2026-01-18 23:00:00    -0.511
    -8.4376  112.6674     2026-01-19 00:00:00    -0.138
    -8.4376  112.6674     2026-01-19 01:00:00     0.204
    -8.4376  112.6674     2026-01-19 02:00:00     0.431
    -8.4376  112.6674     2026-01-19 03:00:00     0.494
    -8.4376  112.6674     2026-01-19 04:00:00     0.388
    -8.4376  112.6674     2026-01-19 05:00:00     0.155
    -8.4376  112.6674     2026-01-19 06:00:00    -0.128
    -8.4376  112.6674     2026-01-19 07:00:00    -0.370
    -8.4376  112.6674     2026-01-19 08:00:00    -0.491
    -8.4376  112.6674     2026-01-19 09:00:00    -0.442
    -8.4376  112.6674     2026-01-19 10:00:00    -0.221
    -8.4376  112.6674     2026-01-19 11:00:00     0.125
    -8.4376  112.6674     2026-01-19 12:00:00     0.512
    -8.4376  112.6674     2026-01-19 13:00:00     0.841
    -8.4376  112.6674     2026-01-19 14:00:00     1.021
    -8.4376  112.6674     2026-01-19 15:00:00     0.996
    -8.4376  112.6674     2026-01-19 16:00:00     0.757
    -8.4376  112.6674     2026-01-19 17:00:00     0.349
    -8.4376  112.6674     2026-01-19 18:00:00    -0.142
    -8.4376  112.6674     2026-01-19 19:00:00    -0.608
    -8.4376  112.6674     2026-01-19 20:00:00    -0.944
    -8.4376  112.6674     2026-01-19 21:00:00    -1.078
    -8.4376  112.6674     2026-01-19 22:00:00    -0.988
    -8.4376  112.6674     2026-01-19 23:00:00    -0.703
    -8.4376  112.6674     2026-01-20 00:00:00    -0.301
    -8.4376  112.6674     2026-01-20 01:00:00     0.114
    -8.4376  112.6674     2026-01-20 02:00:00     0.440
    -8.4376  112.6674     2026-01-20 03:00:00     0.598
    -8.4376  112.6674     2026-01-20 04:00:00     0.559
    -8.4376  112.6674     2026-01-20 05:00:00     0.345
    -8.4376  112.6674     2026-01-20 06:00:00     0.026
    -8.4376  112.6674     2026-01-20 07:00:00    -0.299
    -8.4376  112.6674     2026-01-20 08:00:00    -0.529
